idx,sensor_id,measured_at,temperature,humidity
1,1,2025-04-29 17:42:06,24,36
2,2,2025-04-29 17:42:06,23,21
3,1,2025-04-29 17:42:07,24,36
4,2,2025-04-29 17:42:07,23,21
5,1,2025-04-29 17:42:08,24,36
6,2,2025-04-29 17:42:08,23,21
7,1,2025-04-29 17:42:09,24,36
8,2,2025-04-29 17:42:09,23,21
9,1,2025-04-29 17:42:10,24,36
10,2,2025-04-29 17:42:10,23,21
11,1,2025-04-29 17:42:11,24,36
12,2,2025-04-29 17:42:11,23,21
13,1,2025-04-29 17:42:12,24,36
14,2,2025-04-29 17:42:12,23,21
15,1,2025-04-29 17:42:13,24,36
16,2,2025-04-29 17:42:13,23,21
17,1,2025-04-29 17:42:15,24,36
18,2,2025-04-29 17:42:15,23,21
19,1,2025-04-29 17:42:16,24,36
20,2,2025-04-29 17:42:16,23,21
