idx,sensor_id,measured_at,temperature,humidity
10001,1,2025-04-30 13:43:43,24,23
10002,2,2025-04-30 13:43:43,23,23
10003,1,2025-04-30 13:43:44,24,23
10004,2,2025-04-30 13:43:44,23,23
10005,1,2025-04-30 13:43:45,24,23
10006,2,2025-04-30 13:43:45,23,23
10007,1,2025-04-30 13:43:46,24,23
10008,2,2025-04-30 13:43:46,23,23
10009,1,2025-04-30 13:43:47,24,23
10010,2,2025-04-30 13:43:47,23,23
10011,1,2025-04-30 13:43:48,24,23
10012,2,2025-04-30 13:43:48,23,23
10013,1,2025-04-30 13:43:49,24,23
10014,2,2025-04-30 13:43:49,23,23
10015,1,2025-04-30 13:43:50,24,23
10016,2,2025-04-30 13:43:50,23,7
10017,1,2025-04-30 13:43:51,24,24
10018,2,2025-04-30 13:43:51,23,22
10019,1,2025-04-30 13:43:52,24,24
10020,2,2025-04-30 13:43:52,23,23
10021,1,2025-04-30 13:43:53,24,24
10022,2,2025-04-30 13:43:53,23,23
10023,1,2025-04-30 13:43:54,24,24
10024,2,2025-04-30 13:43:54,23,23
10025,1,2025-04-30 13:43:55,24,24
10026,2,2025-04-30 13:43:55,23,23
10027,1,2025-04-30 13:43:56,24,24
10028,2,2025-04-30 13:43:56,23,23
10029,1,2025-04-30 13:43:57,24,24
10030,2,2025-04-30 13:43:57,23,23
10031,1,2025-04-30 13:43:58,24,24
10032,2,2025-04-30 13:43:58,23,23
10033,1,2025-04-30 13:43:59,24,24
10034,2,2025-04-30 13:43:59,23,23
10035,1,2025-04-30 13:44:00,24,24
10036,2,2025-04-30 13:44:00,23,23
10037,1,2025-04-30 13:44:01,24,24
10038,2,2025-04-30 13:44:01,23,23
10039,1,2025-04-30 13:44:02,24,24
10040,2,2025-04-30 13:44:02,23,23
10041,1,2025-04-30 13:44:03,24,24
10042,2,2025-04-30 13:44:03,23,23
10043,1,2025-04-30 13:44:04,24,24
10044,2,2025-04-30 13:44:04,23,23
10045,1,2025-04-30 13:44:05,24,24
10046,2,2025-04-30 13:44:05,23,23
10047,1,2025-04-30 13:44:06,24,24
10048,2,2025-04-30 13:44:06,23,23
10049,1,2025-04-30 13:44:07,24,24
10050,2,2025-04-30 13:44:07,23,23
10051,1,2025-04-30 13:44:08,24,24
10052,2,2025-04-30 13:44:08,23,23
10053,1,2025-04-30 13:44:09,24,24
10054,2,2025-04-30 13:44:09,23,23
10055,1,2025-04-30 13:44:10,24,24
10056,2,2025-04-30 13:44:10,23,23
10057,1,2025-04-30 13:44:11,24,24
10058,2,2025-04-30 13:44:11,23,23
10059,1,2025-04-30 13:44:12,24,24
10060,2,2025-04-30 13:44:12,23,23
10061,1,2025-04-30 13:44:13,24,23
10062,2,2025-04-30 13:44:13,23,23
10063,1,2025-04-30 13:44:14,24,23
10064,2,2025-04-30 13:44:14,23,23
10065,1,2025-04-30 13:44:15,24,23
10066,2,2025-04-30 13:44:15,23,23
10067,1,2025-04-30 13:44:16,24,23
10068,2,2025-04-30 13:44:16,23,23
10069,1,2025-04-30 13:44:17,24,23
10070,2,2025-04-30 13:44:17,23,23
10071,1,2025-04-30 13:44:18,24,23
10072,2,2025-04-30 13:44:18,23,23
10073,1,2025-04-30 13:44:19,24,23
10074,2,2025-04-30 13:44:19,23,23
10075,1,2025-04-30 13:44:20,24,23
10076,2,2025-04-30 13:44:20,23,23
10077,1,2025-04-30 13:44:21,24,23
10078,2,2025-04-30 13:44:21,23,23
10079,1,2025-04-30 13:44:22,24,23
10080,2,2025-04-30 13:44:22,23,23
10081,1,2025-04-30 13:44:23,24,23
10082,2,2025-04-30 13:44:23,23,23
10083,1,2025-04-30 13:44:24,24,23
10084,2,2025-04-30 13:44:24,23,23
10085,1,2025-04-30 13:44:25,24,23
10086,2,2025-04-30 13:44:25,23,23
10087,1,2025-04-30 13:44:26,24,23
10088,2,2025-04-30 13:44:26,23,23
10089,1,2025-04-30 13:44:27,24,23
10090,2,2025-04-30 13:44:27,23,23
10091,1,2025-04-30 13:44:28,24,23
10092,2,2025-04-30 13:44:28,23,23
10093,1,2025-04-30 13:44:29,24,23
10094,2,2025-04-30 13:44:29,23,23
10095,1,2025-04-30 13:44:30,24,23
10096,2,2025-04-30 13:44:30,23,23
10097,1,2025-04-30 13:44:31,24,23
10098,2,2025-04-30 13:44:31,23,23
10099,1,2025-04-30 13:44:32,24,23
10100,2,2025-04-30 13:44:32,23,23
10101,1,2025-04-30 13:44:33,24,23
10102,2,2025-04-30 13:44:33,23,23
10103,1,2025-04-30 13:44:34,24,23
10104,2,2025-04-30 13:44:34,23,23
10105,1,2025-04-30 13:44:35,24,23
10106,2,2025-04-30 13:44:35,23,23
10107,1,2025-04-30 13:44:36,24,23
10108,2,2025-04-30 13:44:36,23,23
10109,1,2025-04-30 13:44:37,24,23
10110,2,2025-04-30 13:44:37,23,23
10111,1,2025-04-30 13:44:38,24,23
10112,2,2025-04-30 13:44:38,23,23
10113,1,2025-04-30 13:44:39,24,23
10114,2,2025-04-30 13:44:39,23,23
10115,1,2025-04-30 13:44:40,24,23
10116,2,2025-04-30 13:44:40,23,23
10117,1,2025-04-30 13:44:41,24,23
10118,2,2025-04-30 13:44:41,23,23
10119,1,2025-04-30 13:44:42,24,23
10120,2,2025-04-30 13:44:42,23,23
10121,1,2025-04-30 13:44:43,24,23
10122,2,2025-04-30 13:44:43,23,23
10123,1,2025-04-30 13:44:44,24,23
10124,2,2025-04-30 13:44:44,23,7
10125,1,2025-04-30 13:44:45,24,23
10126,2,2025-04-30 13:44:45,23,23
10127,1,2025-04-30 13:44:46,24,23
10128,2,2025-04-30 13:44:46,23,23
10129,1,2025-04-30 13:44:47,24,23
10130,2,2025-04-30 13:44:47,23,23
10131,1,2025-04-30 13:44:48,24,23
10132,2,2025-04-30 13:44:48,23,23
10133,1,2025-04-30 13:44:49,24,23
10134,2,2025-04-30 13:44:49,23,23
10135,1,2025-04-30 13:44:50,24,23
10136,2,2025-04-30 13:44:50,23,23
10137,1,2025-04-30 13:44:51,24,23
10138,2,2025-04-30 13:44:51,21,23
10139,1,2025-04-30 13:44:52,24,23
10140,2,2025-04-30 13:44:52,23,23
10141,1,2025-04-30 13:44:53,24,23
10142,2,2025-04-30 13:44:54,23,23
10143,1,2025-04-30 13:44:55,24,23
10144,2,2025-04-30 13:44:55,23,23
10145,1,2025-04-30 13:44:56,24,23
10146,2,2025-04-30 13:44:56,23,23
10147,1,2025-04-30 13:44:57,24,23
10148,2,2025-04-30 13:44:57,23,23
10149,1,2025-04-30 13:44:58,24,23
10150,2,2025-04-30 13:44:58,23,23
10151,1,2025-04-30 13:44:59,24,23
10152,2,2025-04-30 13:44:59,23,23
10153,1,2025-04-30 13:45:00,24,23
10154,2,2025-04-30 13:45:00,23,23
10155,1,2025-04-30 13:45:01,24,23
10156,2,2025-04-30 13:45:01,23,23
10157,1,2025-04-30 13:45:02,24,23
10158,2,2025-04-30 13:45:02,23,23
10159,1,2025-04-30 13:45:03,24,23
10160,2,2025-04-30 13:45:03,23,22
10161,1,2025-04-30 13:45:04,24,23
10162,2,2025-04-30 13:45:04,23,22
10163,1,2025-04-30 13:45:05,24,23
10164,2,2025-04-30 13:45:05,23,22
10165,1,2025-04-30 13:45:06,24,23
10166,2,2025-04-30 13:45:06,23,22
10167,1,2025-04-30 13:45:07,24,23
10168,2,2025-04-30 13:45:07,23,22
10169,1,2025-04-30 13:45:08,24,23
10170,2,2025-04-30 13:45:08,23,22
10171,1,2025-04-30 13:45:09,24,23
10172,2,2025-04-30 13:45:09,23,22
10173,1,2025-04-30 13:45:10,24,23
10174,2,2025-04-30 13:45:10,23,23
