idx,sensor_id,measured_at,temperature,humidity
2001,1,2025-04-30 12:36:24,28,34
2002,2,2025-04-30 12:36:24,25,23
2003,1,2025-04-30 12:36:25,28,34
2004,2,2025-04-30 12:36:25,25,23
2005,1,2025-04-30 12:36:26,28,34
2006,2,2025-04-30 12:36:26,25,21
2007,1,2025-04-30 12:36:27,28,34
2008,2,2025-04-30 12:36:27,25,23
2009,1,2025-04-30 12:36:28,28,34
2010,2,2025-04-30 12:36:28,25,23
2011,1,2025-04-30 12:36:29,28,34
2012,2,2025-04-30 12:36:29,25,23
2013,1,2025-04-30 12:36:30,28,34
2014,2,2025-04-30 12:36:30,25,23
2015,1,2025-04-30 12:36:31,28,34
2016,2,2025-04-30 12:36:31,25,23
2017,1,2025-04-30 12:36:32,28,34
2018,2,2025-04-30 12:36:32,25,23
2019,1,2025-04-30 12:36:33,28,34
2020,2,2025-04-30 12:36:33,25,23
2021,1,2025-04-30 12:36:34,28,34
2022,2,2025-04-30 12:36:34,25,23
2023,1,2025-04-30 12:36:35,28,34
2024,2,2025-04-30 12:36:35,25,23
2025,1,2025-04-30 12:36:36,28,34
2026,2,2025-04-30 12:36:36,25,23
2027,1,2025-04-30 12:36:37,28,33
2028,2,2025-04-30 12:36:37,25,23
2029,1,2025-04-30 12:36:39,28,33
2030,2,2025-04-30 12:36:39,25,23
2031,1,2025-04-30 12:36:40,28,33
2032,2,2025-04-30 12:36:40,25,23
2033,1,2025-04-30 12:36:41,28,33
2034,2,2025-04-30 12:36:41,25,23
2035,1,2025-04-30 12:36:42,28,33
2036,2,2025-04-30 12:36:42,25,23
2037,1,2025-04-30 12:36:43,28,33
2038,2,2025-04-30 12:36:43,25,23
2039,1,2025-04-30 12:36:44,28,33
2040,2,2025-04-30 12:36:44,25,23
2041,1,2025-04-30 12:36:45,28,33
2042,2,2025-04-30 12:36:45,25,23
2043,1,2025-04-30 12:36:46,28,33
2044,2,2025-04-30 12:36:46,25,23
2045,1,2025-04-30 12:36:47,28,33
2046,2,2025-04-30 12:36:47,25,23
2047,1,2025-04-30 12:36:48,28,33
2048,2,2025-04-30 12:36:48,25,23
2049,1,2025-04-30 12:36:49,28,34
2050,2,2025-04-30 12:36:49,25,23
2051,1,2025-04-30 12:36:50,28,34
2052,2,2025-04-30 12:36:50,25,21
2053,1,2025-04-30 12:36:51,28,34
2054,2,2025-04-30 12:36:51,25,23
2055,1,2025-04-30 12:36:52,28,33
2056,2,2025-04-30 12:36:52,25,23
2057,1,2025-04-30 12:36:53,28,33
2058,2,2025-04-30 12:36:53,25,23
2059,1,2025-04-30 12:36:54,28,33
2060,2,2025-04-30 12:36:54,25,19
2061,1,2025-04-30 12:36:55,28,33
2062,2,2025-04-30 12:36:55,25,23
2063,1,2025-04-30 12:36:56,28,33
2064,2,2025-04-30 12:36:56,25,23
2065,1,2025-04-30 12:36:57,28,33
2066,2,2025-04-30 12:36:57,25,23
2067,1,2025-04-30 12:36:58,28,33
2068,2,2025-04-30 12:36:58,25,23
2069,1,2025-04-30 12:36:59,28,33
2070,2,2025-04-30 12:36:59,25,23
2071,1,2025-04-30 12:37:00,28,33
2072,2,2025-04-30 12:37:00,25,23
2073,1,2025-04-30 12:37:01,28,33
2074,2,2025-04-30 12:37:01,25,23
2075,1,2025-04-30 12:37:02,28,33
2076,2,2025-04-30 12:37:02,25,23
2077,1,2025-04-30 12:37:03,28,33
2078,2,2025-04-30 12:37:03,25,23
2079,1,2025-04-30 12:37:04,28,33
2080,2,2025-04-30 12:37:04,25,23
2081,1,2025-04-30 12:37:05,28,33
2082,2,2025-04-30 12:37:05,25,23
2083,1,2025-04-30 12:37:06,28,33
2084,2,2025-04-30 12:37:06,25,23
2085,1,2025-04-30 12:37:07,28,33
2086,2,2025-04-30 12:37:07,25,23
2087,1,2025-04-30 12:37:08,28,33
2088,2,2025-04-30 12:37:08,25,23
2089,1,2025-04-30 12:37:09,28,33
2090,2,2025-04-30 12:37:09,25,23
2091,1,2025-04-30 12:37:10,28,33
2092,2,2025-04-30 12:37:10,25,23
2093,1,2025-04-30 12:37:11,28,33
2094,2,2025-04-30 12:37:11,25,23
2095,1,2025-04-30 12:37:12,28,33
2096,2,2025-04-30 12:37:12,25,23
2097,1,2025-04-30 12:37:13,28,33
2098,2,2025-04-30 12:37:13,25,23
2099,1,2025-04-30 12:37:14,27,34
2100,2,2025-04-30 12:37:14,25,21
2101,1,2025-04-30 12:37:15,27,34
2102,2,2025-04-30 12:37:15,25,23
2103,1,2025-04-30 12:37:16,27,34
2104,2,2025-04-30 12:37:16,25,23
2105,1,2025-04-30 12:37:17,27,34
2106,2,2025-04-30 12:37:17,25,23
2107,1,2025-04-30 12:37:18,27,34
2108,2,2025-04-30 12:37:18,25,23
2109,1,2025-04-30 12:37:19,27,34
2110,2,2025-04-30 12:37:19,25,23
2111,1,2025-04-30 12:37:20,27,34
2112,2,2025-04-30 12:37:20,25,23
2113,1,2025-04-30 12:37:21,27,34
2114,2,2025-04-30 12:37:21,25,23
2115,1,2025-04-30 12:37:22,27,34
2116,2,2025-04-30 12:37:22,25,23
2117,1,2025-04-30 12:37:23,27,34
2118,2,2025-04-30 12:37:23,25,23
2119,1,2025-04-30 12:37:24,27,34
2120,2,2025-04-30 12:37:24,25,23
2121,1,2025-04-30 12:37:25,27,34
2122,2,2025-04-30 12:37:25,25,23
2123,1,2025-04-30 12:37:26,27,34
2124,2,2025-04-30 12:37:26,25,23
2125,1,2025-04-30 12:37:27,27,34
2126,2,2025-04-30 12:37:27,25,23
2127,1,2025-04-30 12:37:28,27,34
2128,2,2025-04-30 12:37:28,25,23
2129,1,2025-04-30 12:37:29,27,34
2130,2,2025-04-30 12:37:29,25,23
2131,1,2025-04-30 12:37:30,27,34
2132,2,2025-04-30 12:37:30,25,23
2133,1,2025-04-30 12:37:31,27,34
2134,2,2025-04-30 12:37:31,25,23
2135,1,2025-04-30 12:37:32,27,34
2136,2,2025-04-30 12:37:32,25,23
2137,1,2025-04-30 12:37:33,27,34
2138,2,2025-04-30 12:37:33,25,23
