idx,sensor_id,measured_at,temperature,humidity
3001,1,2025-04-30 12:44:50,24,30
3002,2,2025-04-30 12:44:50,24,21
3003,1,2025-04-30 12:44:51,24,30
3004,2,2025-04-30 12:44:51,24,21
3005,1,2025-04-30 12:44:52,24,30
3006,2,2025-04-30 12:44:52,24,21
3007,1,2025-04-30 12:44:53,24,30
3008,2,2025-04-30 12:44:53,24,21
3009,1,2025-04-30 12:44:54,24,30
3010,2,2025-04-30 12:44:54,24,21
3011,1,2025-04-30 12:44:55,24,30
3012,2,2025-04-30 12:44:55,24,21
3013,1,2025-04-30 12:44:56,24,30
3014,2,2025-04-30 12:44:56,24,21
3015,1,2025-04-30 12:44:57,24,30
3016,2,2025-04-30 12:44:57,24,21
3017,1,2025-04-30 12:44:58,24,30
3018,2,2025-04-30 12:44:58,24,21
3019,1,2025-04-30 12:44:59,24,30
3020,2,2025-04-30 12:44:59,24,21
3021,1,2025-04-30 12:45:00,24,30
3022,2,2025-04-30 12:45:00,24,21
3023,1,2025-04-30 12:45:01,24,30
3024,2,2025-04-30 12:45:01,24,21
3025,1,2025-04-30 12:45:02,24,30
3026,2,2025-04-30 12:45:02,24,21
3027,1,2025-04-30 12:45:03,24,30
3028,2,2025-04-30 12:45:03,24,21
3029,1,2025-04-30 12:45:04,24,30
3030,2,2025-04-30 12:45:04,24,21
3031,1,2025-04-30 12:45:05,24,30
3032,2,2025-04-30 12:45:05,24,21
3033,1,2025-04-30 12:45:06,24,30
3034,2,2025-04-30 12:45:06,24,21
3035,1,2025-04-30 12:45:07,24,30
3036,2,2025-04-30 12:45:07,24,21
3037,1,2025-04-30 12:45:08,24,30
3038,2,2025-04-30 12:45:08,24,5
3039,1,2025-04-30 12:45:09,24,30
3040,2,2025-04-30 12:45:09,24,21
3041,1,2025-04-30 12:45:10,24,30
3042,2,2025-04-30 12:45:10,24,21
3043,1,2025-04-30 12:45:11,24,30
3044,2,2025-04-30 12:45:11,24,21
3045,1,2025-04-30 12:45:12,24,30
3046,2,2025-04-30 12:45:12,24,21
3047,1,2025-04-30 12:45:13,24,29
3048,2,2025-04-30 12:45:13,24,21
3049,1,2025-04-30 12:45:14,24,29
3050,2,2025-04-30 12:45:14,24,21
3051,1,2025-04-30 12:45:15,24,29
3052,2,2025-04-30 12:45:15,24,21
3053,1,2025-04-30 12:45:16,24,30
3054,2,2025-04-30 12:45:16,24,21
3055,1,2025-04-30 12:45:17,24,29
3056,2,2025-04-30 12:45:17,24,21
3057,1,2025-04-30 12:45:18,24,29
3058,2,2025-04-30 12:45:18,24,21
3059,1,2025-04-30 12:45:19,24,29
3060,2,2025-04-30 12:45:19,24,21
3061,1,2025-04-30 12:45:20,24,29
3062,2,2025-04-30 12:45:20,24,21
3063,1,2025-04-30 12:45:21,24,29
3064,2,2025-04-30 12:45:21,24,21
3065,1,2025-04-30 12:45:22,24,29
3066,2,2025-04-30 12:45:22,24,21
3067,1,2025-04-30 12:45:23,24,29
3068,2,2025-04-30 12:45:23,8,21
3069,1,2025-04-30 12:45:24,24,29
3070,2,2025-04-30 12:45:24,24,21
3071,1,2025-04-30 12:45:25,24,29
3072,2,2025-04-30 12:45:25,24,21
3073,1,2025-04-30 12:45:26,24,29
3074,2,2025-04-30 12:45:26,24,21
3075,1,2025-04-30 12:45:27,24,29
3076,2,2025-04-30 12:45:27,24,21
3077,1,2025-04-30 12:45:28,24,29
3078,2,2025-04-30 12:45:28,24,21
3079,1,2025-04-30 12:45:29,24,29
3080,2,2025-04-30 12:45:29,24,21
3081,1,2025-04-30 12:45:30,24,29
3082,2,2025-04-30 12:45:30,24,21
3083,1,2025-04-30 12:45:31,24,29
3084,2,2025-04-30 12:45:31,24,21
3085,1,2025-04-30 12:45:32,24,29
3086,2,2025-04-30 12:45:32,24,21
3087,1,2025-04-30 12:45:33,24,29
3088,2,2025-04-30 12:45:33,24,21
3089,1,2025-04-30 12:45:34,24,29
3090,2,2025-04-30 12:45:34,24,21
3091,1,2025-04-30 12:45:35,24,29
3092,2,2025-04-30 12:45:35,24,21
3093,1,2025-04-30 12:45:36,24,29
3094,2,2025-04-30 12:45:36,24,21
3095,1,2025-04-30 12:45:37,24,29
3096,2,2025-04-30 12:45:37,24,21
3097,1,2025-04-30 12:45:38,24,29
3098,2,2025-04-30 12:45:38,24,21
3099,1,2025-04-30 12:45:39,24,29
3100,2,2025-04-30 12:45:39,24,21
3101,1,2025-04-30 12:45:40,24,29
3102,2,2025-04-30 12:45:40,24,21
3103,1,2025-04-30 12:45:41,24,29
3104,2,2025-04-30 12:45:41,24,21
3105,1,2025-04-30 12:45:42,24,29
3106,2,2025-04-30 12:45:42,24,21
3107,1,2025-04-30 12:45:43,24,29
3108,2,2025-04-30 12:45:43,24,21
3109,1,2025-04-30 12:45:44,24,29
3110,2,2025-04-30 12:45:44,24,21
3111,1,2025-04-30 12:45:45,24,29
3112,2,2025-04-30 12:45:45,24,21
3113,1,2025-04-30 12:45:46,24,29
3114,2,2025-04-30 12:45:46,24,21
3115,1,2025-04-30 12:45:47,24,29
3116,2,2025-04-30 12:45:47,24,21
