idx,sensor_id,measured_at,temperature,humidity
12001,1,2025-04-30 14:00:32,24,24
12002,2,2025-04-30 14:00:32,23,23
12003,1,2025-04-30 14:00:33,24,24
12004,2,2025-04-30 14:00:33,23,21
12005,1,2025-04-30 14:00:34,24,24
12006,2,2025-04-30 14:00:34,23,23
12007,1,2025-04-30 14:00:35,24,24
12008,2,2025-04-30 14:00:35,23,23
12009,1,2025-04-30 14:00:36,24,24
12010,2,2025-04-30 14:00:36,23,23
12011,1,2025-04-30 14:00:37,24,24
12012,2,2025-04-30 14:00:37,23,23
12013,1,2025-04-30 14:00:38,24,24
12014,2,2025-04-30 14:00:38,23,23
12015,1,2025-04-30 14:00:39,24,24
12016,2,2025-04-30 14:00:39,23,23
12017,1,2025-04-30 14:00:40,24,24
12018,2,2025-04-30 14:00:40,23,23
12019,1,2025-04-30 14:00:41,24,24
12020,2,2025-04-30 14:00:41,23,7
12021,1,2025-04-30 14:00:42,24,24
12022,2,2025-04-30 14:00:42,23,23
12023,1,2025-04-30 14:00:43,24,24
12024,2,2025-04-30 14:00:43,23,23
12025,1,2025-04-30 14:00:44,24,24
12026,2,2025-04-30 14:00:44,23,23
12027,1,2025-04-30 14:00:45,24,24
12028,2,2025-04-30 14:00:45,23,23
12029,1,2025-04-30 14:00:46,24,24
12030,2,2025-04-30 14:00:46,23,23
12031,1,2025-04-30 14:00:47,24,24
12032,2,2025-04-30 14:00:47,23,23
12033,1,2025-04-30 14:00:48,24,23
12034,2,2025-04-30 14:00:48,23,23
12035,1,2025-04-30 14:00:49,24,23
12036,2,2025-04-30 14:00:49,23,23
12037,1,2025-04-30 14:00:50,24,23
12038,2,2025-04-30 14:00:50,23,23
12039,1,2025-04-30 14:00:51,24,23
12040,2,2025-04-30 14:00:51,23,23
12041,1,2025-04-30 14:00:52,24,23
12042,2,2025-04-30 14:00:52,23,23
12043,1,2025-04-30 14:00:53,24,23
12044,2,2025-04-30 14:00:53,23,23
12045,1,2025-04-30 14:00:54,24,23
12046,2,2025-04-30 14:00:54,23,23
12047,1,2025-04-30 14:00:55,24,23
12048,2,2025-04-30 14:00:55,23,23
12049,1,2025-04-30 14:00:56,24,24
12050,2,2025-04-30 14:00:56,23,23
12051,1,2025-04-30 14:00:57,24,24
12052,2,2025-04-30 14:00:57,23,23
12053,1,2025-04-30 14:00:59,24,24
12054,2,2025-04-30 14:00:59,23,23
12055,1,2025-04-30 14:01:00,24,24
12056,2,2025-04-30 14:01:00,23,23
12057,1,2025-04-30 14:01:01,24,23
12058,2,2025-04-30 14:01:01,23,23
12059,1,2025-04-30 14:01:02,24,23
12060,2,2025-04-30 14:01:02,23,23
12061,1,2025-04-30 14:01:03,24,23
12062,2,2025-04-30 14:01:03,23,23
12063,1,2025-04-30 14:01:04,24,23
12064,2,2025-04-30 14:01:04,23,23
12065,1,2025-04-30 14:01:05,24,23
12066,2,2025-04-30 14:01:05,23,23
12067,1,2025-04-30 14:01:06,24,23
12068,2,2025-04-30 14:01:06,23,23
12069,1,2025-04-30 14:01:07,24,23
12070,2,2025-04-30 14:01:07,23,23
12071,1,2025-04-30 14:01:08,24,23
12072,2,2025-04-30 14:01:08,23,23
12073,1,2025-04-30 14:01:09,24,23
12074,2,2025-04-30 14:01:09,23,23
12075,1,2025-04-30 14:01:10,24,23
12076,2,2025-04-30 14:01:10,23,23
12077,1,2025-04-30 14:01:11,24,23
12078,2,2025-04-30 14:01:11,23,23
12079,1,2025-04-30 14:01:12,24,23
12080,2,2025-04-30 14:01:12,23,23
12081,1,2025-04-30 14:01:13,24,23
12082,2,2025-04-30 14:01:13,23,23
12083,1,2025-04-30 14:01:14,24,23
12084,2,2025-04-30 14:01:14,23,23
12085,1,2025-04-30 14:01:15,24,23
12086,2,2025-04-30 14:01:15,23,23
12087,1,2025-04-30 14:01:16,24,23
12088,2,2025-04-30 14:01:16,23,23
12089,1,2025-04-30 14:01:17,24,23
12090,2,2025-04-30 14:01:17,23,7
12091,1,2025-04-30 14:01:18,24,23
12092,2,2025-04-30 14:01:18,23,23
12093,1,2025-04-30 14:01:19,24,23
12094,2,2025-04-30 14:01:19,23,23
12095,1,2025-04-30 14:01:20,24,23
12096,2,2025-04-30 14:01:20,23,23
12097,1,2025-04-30 14:01:21,24,23
12098,2,2025-04-30 14:01:21,23,23
12099,1,2025-04-30 14:01:22,24,23
12100,2,2025-04-30 14:01:22,23,23
12101,1,2025-04-30 14:01:23,24,23
12102,2,2025-04-30 14:01:23,23,23
12103,1,2025-04-30 14:01:24,24,23
12104,2,2025-04-30 14:01:24,23,23
12105,1,2025-04-30 14:01:25,24,23
